Fecha  , Hora  , Consumo (Wh) , Precio (€/kWh) , Coste por hora (€)
2019-01-04 , 13.0 , 116.0 , 0.15217968 , 0.017652842880000002
2019-01-04 , 14.0 , 61.0 , 0.15273318 , 0.009316723979999999
2019-01-04 , 15.0 , 8.0 , 0.152159632 , 0.001217277056
2019-01-04 , 16.0 , 9.0 , 0.152099656 , 0.0013688969040000002
2019-01-04 , 17.0 , 8.0 , 0.154227571 , 0.001233820568
2019-01-04 , 18.0 , 14.0 , 0.157527832 , 0.0022053896480000003
2019-01-04 , 19.0 , 8.0 , 0.158881648 , 0.001271053184
2019-01-04 , 20.0 , 9.0 , 0.158027421 , 0.001422246789
2019-01-04 , 21.0 , 8.0 , 0.154551632 , 0.001236413056
2019-01-04 , 22.0 , 8.0 , 0.08725435 , 6.980348E-4
2019-01-04 , 23.0 , 9.0 , 0.0867631 , 7.808679E-4
